ImageNumber,ObjectNumber,Children_Cells_COL1A2_Count,Children_Cells_COL1A2andFOXP3_Count,Children_Cells_COL1A2andPDGFRA_Count,Children_Cells_CXCL12_Count,Children_Cells_CXCL12andPDGFRA_Count,Children_Cells_CXCL12andPDGFRAandFOXP3_Count,Children_Cells_FOXP3_Count,Children_Cells_FOXP3andCXCL12_Count,Children_Cells_FOXP3andPDGFRA_Count,Children_Cells_PDGFRA_Count,Children_Cytoplasm_Count,Children_Expression_COL1A2_Count,Children_Expression_CXCL12_Count,Children_Expression_FOXP3_Count,Children_Expression_PDGFRA_Count,Children_Extracellular_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_Expression_COL1A2_Distance_Centroid_Cells,Mean_Expression_COL1A2_Distance_Centroid_Extracellular,Mean_Expression_COL1A2_Distance_Minimum_Cells,Mean_Expression_COL1A2_Distance_Minimum_Extracellular,Mean_Expression_COL1A2_Location_Center_X,Mean_Expression_COL1A2_Location_Center_Y,Mean_Expression_COL1A2_Location_Center_Z,Mean_Expression_COL1A2_Number_Object_Number,Mean_Expression_CXCL12_Distance_Centroid_Cells,Mean_Expression_CXCL12_Distance_Centroid_Extracellular,Mean_Expression_CXCL12_Distance_Minimum_Cells,Mean_Expression_CXCL12_Distance_Minimum_Extracellular,Mean_Expression_CXCL12_Location_Center_X,Mean_Expression_CXCL12_Location_Center_Y,Mean_Expression_CXCL12_Location_Center_Z,Mean_Expression_CXCL12_Number_Object_Number,Mean_Expression_FOXP3_Distance_Centroid_Cells,Mean_Expression_FOXP3_Distance_Centroid_Extracellular,Mean_Expression_FOXP3_Distance_Minimum_Cells,Mean_Expression_FOXP3_Distance_Minimum_Extracellular,Mean_Expression_FOXP3_Location_Center_X,Mean_Expression_FOXP3_Location_Center_Y,Mean_Expression_FOXP3_Location_Center_Z,Mean_Expression_FOXP3_Number_Object_Number,Mean_Expression_PDGFRA_Distance_Centroid_Cells,Mean_Expression_PDGFRA_Distance_Centroid_Extracellular,Mean_Expression_PDGFRA_Distance_Minimum_Cells,Mean_Expression_PDGFRA_Distance_Minimum_Extracellular,Mean_Expression_PDGFRA_Location_Center_X,Mean_Expression_PDGFRA_Location_Center_Y,Mean_Expression_PDGFRA_Location_Center_Z,Mean_Expression_PDGFRA_Number_Object_Number,Number_Object_Number,Parent_Nuclei
1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,219.6194956718103,31.856228829506964,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30,30
1,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,509.8886663996796,38.730476571886264,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31,31
1,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1571.0970822281167,48.239257294429706,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32,32
1,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,837.2950819672132,46.52356557377049,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33,33
1,34,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1025.4021019852082,44.89217594394706,0,36.24600941688988,nan,4.123504885724755,nan,1000.7426900584796,18.42690058479532,0.0,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34,34
1,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,906.5708575581396,52.35901162790697,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,35
1,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,386.6192354368932,45.498179611650485,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36,36
1,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,769.9698996655518,34.414715719063544,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37,37
1,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1121.3986175115208,53.224270353302614,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38,38
1,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,945.6629570747218,52.02384737678855,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39,39
