ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expression_COL1A2_20,Neighbors_AngleBetweenNeighbors_Expression_FOXP3_20,Neighbors_AngleBetweenNeighbors_Expression_PDGFRA_20,Neighbors_FirstClosestDistance_Expression_COL1A2_20,Neighbors_FirstClosestDistance_Expression_FOXP3_20,Neighbors_FirstClosestDistance_Expression_PDGFRA_20,Neighbors_FirstClosestObjectNumber_Expression_COL1A2_20,Neighbors_FirstClosestObjectNumber_Expression_FOXP3_20,Neighbors_FirstClosestObjectNumber_Expression_PDGFRA_20,Neighbors_NumberOfNeighbors_Expression_COL1A2_20,Neighbors_NumberOfNeighbors_Expression_FOXP3_20,Neighbors_NumberOfNeighbors_Expression_PDGFRA_20,Neighbors_PercentTouching_Expression_COL1A2_20,Neighbors_PercentTouching_Expression_FOXP3_20,Neighbors_PercentTouching_Expression_PDGFRA_20,Neighbors_SecondClosestDistance_Expression_COL1A2_20,Neighbors_SecondClosestDistance_Expression_FOXP3_20,Neighbors_SecondClosestDistance_Expression_PDGFRA_20,Neighbors_SecondClosestObjectNumber_Expression_COL1A2_20,Neighbors_SecondClosestObjectNumber_Expression_FOXP3_20,Neighbors_SecondClosestObjectNumber_Expression_PDGFRA_20,Number_Object_Number,Parent_Cells
1,44,1526.0050858232676,688.1595677050223,0,67.62768172609789,0.0,4.456484814297236,3.4330074520217737,0.0,165.1912549928598,717,0,32,63.0,0.0,0.0,100.0,0.0,0.0,3.7683779577373206,0.0,166.81204108699322,711,0,33,44,416
1,45,1065.7182944606413,710.5145772594752,0,11.064741064676117,0.0,51.318745650184276,21.787862402227987,0.0,206.50264042731277,752,0,34,16.0,0.0,0.0,49.09747292418773,0.0,0.0,22.91402093315804,0.0,229.63879240814407,751,0,31,45,430
1,46,1666.851358550879,705.8343100692595,0,49.49944541020511,0.0,2.4336939200435723,3.4196968193174513,0.0,306.0094233548318,740,0,32,13.0,0.0,0.0,79.46428571428571,0.0,0.0,3.8686096426928787,0.0,306.3677144849092,743,0,33,46,431
1,47,1086.1026455026456,742.7343915343915,0,15.178175810602522,0.0,53.20878843733603,10.153235396683538,0.0,177.95092324558527,757,0,34,15.0,0.0,0.0,66.87898089171975,0.0,0.0,12.378016522938946,0.0,232.24887928796778,755,0,31,47,458
1,48,1056.1747868453106,765.9250913520098,0,11.826798127127837,0.0,44.59988923395269,18.216280811628966,0.0,204.3456519714864,765,0,34,15.0,0.0,0.0,36.04060913705584,0.0,0.0,20.364528404925817,0.0,270.06000413404354,763,0,31,48,474
1,49,1233.8135764944275,775.5104694360014,0,1.5608322174565967,0.0,38.48726852932464,39.76634084682292,0.0,26.65753535611043,771,0,34,9.0,0.0,1.0,19.17562724014337,0.0,13.799283154121865,42.861021220603256,0.0,143.08421452148573,774,0,33,49,476
1,50,1307.3569918453638,798.5363938387194,0,6.519573564867104,0.0,99.84077945025852,27.134767830551404,0.0,50.67540013998165,778,0,34,15.0,0.0,1.0,48.148148148148145,0.0,8.641975308641975,28.108302634897168,0.0,104.11985947630737,775,0,33,50,503
1,51,1465.373381294964,826.826618705036,0,5.768327965180728,0.0,3.0883292643276676,24.602198676151698,0.0,157.73882901714737,807,0,33,41.0,0.0,0.0,59.35251798561151,0.0,0.0,25.858513578886193,0.0,167.36011139078758,797,0,32,51,509
1,52,1367.0412293853074,833.2237631184407,0,74.36346419684854,0.0,60.7629571903718,1.2663096803223277,0.0,119.32149842206742,804,0,34,66.0,0.0,0.0,90.41666666666667,0.0,0.0,2.9371299450531714,0.0,124.39586409996791,812,0,33,52,513
1,53,1326.4157782515992,839.0262970859986,0,3.1718121805229176,0.0,63.30179712502082,23.326644435754076,0.0,88.52334749298728,845,0,34,27.0,0.0,0.0,39.37823834196891,0.0,0.0,25.054339204506352,0.0,134.4193888770907,842,0,33,53,521
1,54,1432.2450155073107,849.7833407177669,0,77.5113770026619,0.0,2.146551940933621,2.2001502409044784,0.0,158.01043090188412,844,0,33,71.0,0.0,0.0,100.0,0.0,0.0,4.291518927139424,0.0,169.48500853159175,831,0,32,54,522
1,55,1344.8982035928143,865.5668662674651,0,3.761294628211864,0.0,50.63384748804574,5.734109404218001,0.0,120.18351263735696,871,0,34,40.0,0.0,0.0,74.27184466019418,0.0,0.0,8.2519194690452,0.0,157.34230093635207,874,0,33,55,542
